time_delta_us,accel_x,accel_y,accel_z,rotation_x,rotation_y,rotation_z
40027,0.0013,0.0035,-1.0068,0.0266,-0.0666,0.1786
39993,0.0021,0.0016,-1.0038,-0.0803,-0.1582,-0.1191
40002,0.0006,0.0021,-0.9960,0.0953,0.1395,-0.0504
39998,-0.0021,-0.0006,-1.0058,-0.1032,0.0250,0.1710
40000,-0.0028,0.0038,-0.9975,0.0342,-0.0208,0.0565
40000,-0.0036,0.0016,-1.0021,-0.0192,-0.0971,-0.0962
40000,0.0006,0.0018,-1.0038,-0.0040,0.1624,0.1328
40000,-0.0026,-0.0001,-0.9987,-0.0956,0.0250,-0.0656
40000,-0.0060,-0.0006,-1.0048,-0.0803,0.1166,-0.1420
40000,-0.0014,-0.0001,-0.9967,0.0647,0.0632,-0.2260
40000,-0.0014,0.0023,-1.0002,-0.0574,-0.0208,-0.0962
40000,-0.0072,-0.0004,-1.0053,0.0800,0.2082,0.0183
40000,-0.0026,-0.0014,-0.9953,-0.1490,0.0632,0.0260
40000,0.0018,0.0064,-1.0019,-0.0040,0.0021,0.0947
40000,-0.0036,0.0038,-1.0068,-0.0421,0.1090,0.0183
40000,0.0025,0.0016,-1.0021,0.1334,0.0250,-0.1573
40000,0.0052,0.0008,-1.0075,-0.0574,-0.0437,0.2626
40000,0.0030,0.0064,-0.9936,-0.0345,0.0632,0.0183
40000,0.0023,-0.0033,-0.9992,-0.0498,0.0403,0.1252
40000,0.0025,-0.0043,-0.9914,0.0647,-0.0284,0.1634
40000,-0.0014,-0.0021,-0.9970,0.0724,-0.0513,0.2321
40000,0.0016,0.0008,-1.0007,-0.1414,0.0174,0.0107
40000,0.0003,-0.0021,-0.9975,-0.0421,0.2006,0.0870
40000,0.0008,-0.0019,-0.9992,-0.0803,0.0556,0.1176
40000,-0.0045,0.0035,-1.0019,0.1105,0.1395,-0.0351
40000,0.0003,-0.0023,-0.9989,0.1411,0.0174,0.0565
40000,0.0001,0.0028,-0.9987,0.0724,-0.1505,-0.1802
40000,0.0033,-0.0021,-1.0036,0.0266,0.1930,0.1023
40000,0.0038,0.0008,-0.9997,0.2632,-0.4330,0.0641
40000,0.0506,0.0018,-0.9723,1.6449,-50.5093,-13.0351
40000,-0.0165,0.0047,-1.0971,-1.6757,-22.4635,-6.9511
40000,-0.0099,-0.0607,-1.1467,-1.9505,-87.3337,-25.0046
40000,-0.1339,-0.0102,-1.3625,-15.0727,7.4220,-5.1344
40000,-0.1015,0.0746,-1.0260,8.1716,42.2082,-14.8595
40000,-0.0197,0.0548,-1.1093,-1.8131,23.3762,2.8427
40000,-0.0207,0.0292,-1.0282,-11.0879,49.5976,5.4763
40000,-0.0124,0.0729,-0.9242,-1.3627,28.2388,-0.5008
40000,0.0538,0.0453,-1.0246,-8.7292,14.4678,6.3542
40000,0.0260,0.0030,-1.0094,-13.2940,31.6205,7.6748
40000,0.0511,0.0279,-0.9621,-14.0879,14.4296,8.6595
40000,0.0533,0.0069,-0.9987,7.7823,6.0785,9.6290
40000,0.0399,0.0296,-0.8827,0.0876,8.6663,7.2779
40000,0.0335,-0.0019,-0.8967,6.1182,-4.0818,4.8046
40000,0.0169,0.0062,-0.8508,4.5304,-10.9902,0.3160
40000,-0.0026,-0.0194,-0.8945,16.9044,-20.2421,0.9420
40000,-0.0294,0.0487,-1.0195,-4.1872,-16.0208,-2.4092
40000,-0.0807,0.0868,-1.0053,38.2861,-3.3337,-2.4092
40000,-0.0358,-0.0204,-0.9194,4.2632,-19.5322,4.0260
40000,0.0016,0.0284,-0.8576,-26.2024,0.3151,-13.6382
40000,0.0228,0.0125,-1.0732,12.5380,12.4983,-5.4244
40000,0.0558,-0.0111,-0.9826,34.8892,108.4831,38.9649
40000,0.1119,0.0770,-1.1088,5.8510,124.6510,23.8656
40000,0.3009,-0.0807,-0.9504,-14.6605,88.9869,24.7740
40000,0.3265,-0.0128,-0.9577,8.7823,185.8571,73.5450
40000,0.2774,-0.0180,-0.8342,-5.4467,168.5441,32.6672
40000,0.4522,-0.0368,-0.8549,3.3014,215.2998,34.0794
40000,0.6808,-0.0636,-0.7858,2.6907,124.4144,28.3618
40000,0.6158,-0.0946,-0.7475,-12.0650,-55.9597,-23.1649
40000,0.5628,-0.0148,-0.8654,-36.6528,-128.6086,-60.9206
40000,0.5758,0.0035,-0.8957,2.6907,-141.8528,-42.7145
40000,0.4034,0.0150,-0.9931,26.1869,-170.8681,-68.4626
40000,0.4059,-0.0148,-0.8495,-9.6070,-160.1887,-47.1420
40000,0.2604,0.0262,-1.0668,-4.7368,-139.3261,-32.8748
40000,0.0936,0.0472,-1.0195,10.9197,-134.0895,-37.0046
40000,0.0736,0.0033,-0.9955,11.4617,-137.9444,-34.0428
40000,-0.0587,0.0074,-0.9960,13.9350,-130.5780,-28.4244
