time_delta_us,accel_x,accel_y,accel_z,rotation_x,rotation_y,rotation_z
40024,-0.0034,-0.0021,-0.9975,0.0803,-0.1545,-0.3072
39995,0.0030,0.0010,-1.0006,-0.2174,-0.0324,-0.1392
40002,0.0005,-0.0073,-1.0006,-0.0418,0.1585,0.1508
39998,-0.0007,-0.0033,-0.9940,0.0269,0.0058,0.0898
40000,0.0025,0.0008,-0.9960,-0.1411,0.0516,0.1356
40000,-0.0014,0.0020,-1.0070,0.0116,0.0287,0.1356
40000,0.0008,-0.0024,-0.9879,0.0650,0.1661,0.0134
40000,-0.0004,-0.0002,-0.9970,-0.0953,-0.0095,0.0134
40000,-0.0051,-0.0055,-1.0036,0.0498,-0.0324,-0.0018
40000,0.0052,0.0030,-1.0050,0.0879,-0.1545,-0.2232
40000,0.0032,-0.0033,-0.9967,0.0116,0.0440,0.0592
40000,-0.0012,0.0052,-1.0060,0.0879,-0.0247,-0.0629
40000,-0.0009,-0.0046,-0.9923,-0.1258,0.0211,-0.2461
40000,-0.0002,-0.0031,-0.9994,-0.0724,-0.0095,0.0592
40000,0.0045,-0.0092,-0.9965,0.1108,-0.1850,0.0058
40000,0.0025,0.0001,-1.0019,-0.1487,0.0974,0.0592
40000,-0.0026,-0.0075,-0.9965,0.0727,-0.0324,0.1127
40000,0.0001,0.0001,-0.9975,-0.0418,0.1203,-0.1698
40000,0.0042,-0.0051,-1.0033,0.0345,-0.0095,0.0821
40000,-0.0007,-0.0026,-0.9999,0.0574,0.0134,-0.0782
40000,0.0088,-0.0002,-0.9992,-0.0113,0.0287,-0.0095
40000,0.0005,-0.0038,-1.0038,-0.1258,-0.0782,-0.0553
40000,0.0005,-0.0063,-0.9984,0.2253,-0.0553,-0.3072
40000,0.0071,-0.0036,-0.9938,0.0345,0.0211,-0.0171
40000,0.0020,-0.0014,-0.9870,-0.1182,0.1585,-0.0324
40000,0.0020,-0.0041,-0.9994,-0.0113,-0.2079,-0.1240
40000,-0.0063,-0.0046,-1.0019,-0.0113,0.1585,0.0821
40000,-0.0019,-0.0014,-0.9921,-0.0953,-0.2003,0.0745
40000,0.0081,0.0045,-1.0043,-0.0418,0.1508,-0.2003
40000,-0.0017,0.0013,-0.9992,-0.1563,-0.0705,-0.1469
40000,0.0020,-0.0026,-0.9972,-0.1869,0.0745,0.0058
40000,-0.0026,-0.0024,-0.9982,-0.0495,-0.0095,-0.1545
40000,0.0042,0.0008,-0.9979,-0.0495,-0.0934,0.0592
40000,0.0086,0.0010,-0.9977,0.1948,-0.0324,-0.1163
40000,0.0064,-0.0021,-1.0014,-0.0418,-0.0171,-0.1240
40000,0.0030,0.0040,-0.9950,-0.0266,-0.0095,0.1279
40000,-0.0017,-0.0060,-0.9943,0.0040,0.1661,-0.1011
40000,0.0003,-0.0055,-0.9999,-0.1258,-0.0018,-0.0705
40000,-0.0002,-0.0046,-0.9982,-0.0037,-0.0247,0.0516
40000,0.0001,-0.0021,-1.0065,0.1185,-0.1011,0.0440
40000,-0.0002,0.0030,-1.0023,-0.1182,0.0211,0.0974
40000,0.0005,-0.0060,-1.0001,-0.0647,0.2272,0.1432
40000,-0.0007,-0.0041,-1.0004,-0.0113,0.0134,-0.0400
40000,0.0010,-0.0014,-0.9926,-0.0647,-0.1011,-0.1469
40000,-0.0017,-0.0009,-0.9933,0.0650,0.1432,-0.0324
40000,-0.0038,-0.0077,-0.9958,0.1566,-0.0705,-0.0934
40000,-0.0004,-0.0090,-0.9955,0.1032,-0.0018,-0.1774
